GameId,HomeGamesAnalyzed,HomeWins,HomeDraws,HomeLosses,AwayGamesAnalyzed,AwayWins,AwayDraws,AwayLosses,Result
871308,10,7,2,1,10,3,2,5,Draw
871212,5,2,3,0,5,3,2,0,Away
871227,7,3,3,1,7,1,2,4,Home
871320,10,5,2,3,10,2,3,5,Home
871286,10,4,3,3,10,6,1,3,Home
871211,5,4,0,1,5,2,2,1,Draw
871237,8,1,2,5,8,1,3,4,Home
871330,10,5,3,2,10,2,1,7,Home
871169,0,0,0,0,0,0,0,0,Draw
871174,1,0,0,1,1,0,0,1,Away
871303,10,4,2,4,10,4,3,3,Away
871219,6,2,3,1,6,2,2,2,Home
871247,9,6,2,1,9,5,1,3,Home
871304,10,6,1,3,10,2,0,8,Home
871175,1,0,1,0,1,1,0,0,Draw
871262,10,1,5,4,10,1,3,6,Home
871206,4,0,0,4,4,1,2,1,Away
871226,6,4,0,2,6,1,3,2,Home
871229,7,4,2,1,7,3,2,2,Home
871232,7,1,2,4,7,0,5,2,Home
871257,10,4,3,3,10,4,4,2,Home
871281,10,5,4,1,10,5,1,4,Home
871319,10,7,3,0,10,3,2,5,Home
871327,10,6,1,3,10,3,3,4,Home
871261,10,4,1,5,10,4,3,3,Draw
871207,4,1,0,3,4,0,1,3,Away
871224,6,4,0,2,6,4,1,1,Draw
871234,7,1,3,3,7,3,0,4,Away
871248,9,3,4,2,9,4,1,4,Home
871222,6,3,1,2,6,1,2,3,Draw
871195,3,2,1,0,3,0,0,3,Away
871201,4,1,0,3,4,3,0,1,Away
871326,10,6,1,3,10,5,2,3,Home
871192,3,0,2,1,3,0,2,1,Home
871253,9,4,3,2,9,3,3,3,Away
871288,10,2,3,5,10,2,4,4,Home
871283,10,6,1,3,10,3,2,5,Draw
871312,10,1,3,6,10,3,1,6,Draw
871334,10,3,2,5,10,4,0,6,Away
871340,10,1,2,7,10,5,1,4,Away
871215,5,1,1,3,5,1,0,4,Draw
871249,9,4,2,3,9,2,2,5,Home
871355,10,6,1,3,10,6,0,4,Draw
871264,10,4,3,3,10,2,3,5,Home
871298,10,5,1,4,10,6,2,2,Away
871300,10,7,2,1,10,7,2,1,Draw
871301,10,5,1,4,10,2,3,5,Home
871314,10,2,3,5,10,6,3,1,Away
871347,10,3,1,6,10,7,3,0,Home
871359,10,2,0,8,10,3,1,6,Home
871198,3,0,2,1,3,2,1,0,Away
871291,10,5,3,2,10,5,2,3,Home
871321,10,2,3,5,10,5,0,5,Home
871258,10,5,2,3,10,5,4,1,Away
871235,7,2,3,2,7,3,3,1,Home
871323,10,2,2,6,10,5,1,4,Away
871329,10,4,1,5,10,1,1,8,Draw
871343,10,4,0,6,10,7,0,3,Away
